# data/login_attempts.csv
date,attempts
2025-06-02,48
2025-06-03,52
2025-06-04,47
2025-06-05,50
2025-06-06,55
2025-06-07,49
2025-06-08,51
2025-06-09,54
2025-06-10,56
2025-06-11,58
2025-06-12,53
2025-06-13,57
2025-06-14,59
2025-06-15,55
2025-06-16,60
2025-06-17,63
2025-06-18,61
2025-06-19,64
2025-06-20,62
2025-06-21,66
2025-06-22,65
2025-06-23,68
2025-06-24,70
2025-06-25,72
2025-06-26,71
2025-06-27,74
2025-06-28,73
2025-06-29,75
2025-06-30,78
2025-07-01,80
2025-07-02,82
2025-07-03,79
2025-07-04,81
2025-07-05,85
2025-07-06,83
2025-07-07,150
2025-07-08,160
2025-07-09,170
2025-07-10,165
2025-07-11,155
2025-07-12,162
2025-07-13,158
2025-07-14,90
2025-07-15,92
2025-07-16,89
2025-07-17,91
2025-07-18,95
2025-07-19,94
2025-07-20,93
2025-07-21,88
2025-07-22,86
2025-07-23,84
2025-07-24,83
2025-07-25,85
2025-07-26,82
2025-07-27,81
